Date,Open,High,Low,Close,Adj Close,Volume
2023-10-11,1289.948242,1303.997559,1264.010986,1275.673096,1275.673096,4276050016
2023-10-12,1275.646973,1284.514526,1260.335693,1271.800415,1271.800415,4398206886
2023-10-13,1271.882690,1272.507202,1249.213257,1263.713867,1263.713867,4107226300
2023-10-14,1263.566528,1296.288818,1260.229492,1280.073364,1280.073364,3773311360
2023-10-15,1280.217163,1286.971680,1274.940796,1282.791382,1282.791382,2003640591
2023-10-16,1282.642334,1288.619629,1278.912964,1281.847412,1281.847412,2405073926
2023-10-17,1282.047852,1338.010742,1280.437866,1310.658325,1310.658325,7244643607
2023-10-18,1310.741333,1311.510010,1276.747681,1285.437256,1285.437256,4132515417
2023-10-19,1285.390625,1300.743774,1282.030029,1287.937256,1287.937256,3586160198
2023-10-20,1288.108765,1291.934814,1275.382568,1291.645752,1291.645752,4149127723
2023-10-21,1291.739624,1342.960815,1289.012329,1320.713013,1320.713013,5553484719
2023-10-22,1320.840942,1350.705811,1311.372681,1340.881714,1340.881714,3466531171
2023-10-23,1340.876221,1371.278931,1336.503662,1367.577271,1367.577271,4314940925
2023-10-24,1376.965576,1464.745483,1369.062622,1441.230103,1441.230103,11725148559
2023-10-25,1441.746094,1516.618530,1446.677368,1467.198364,1467.198364,13063983194
2023-10-26,1467.582886,1495.286011,1451.075317,1476.906982,1476.906982,7799396799
2023-10-27,1476.976685,1542.583008,1457.302368,1486.537354,1486.537354,9226114234
2023-10-28,1486.336060,1486.815430,1446.048462,1467.715088,1467.715088,6178592860
2023-10-29,1467.747070,1484.667480,1462.265869,1464.889160,1464.889160,3484590539
2023-10-30,1464.844482,1494.058594,1456.177856,1482.330933,1482.330933,3598226691
2023-10-31,1482.366577,1506.121704,1468.906372,1488.113647,1488.113647,6193909107
2023-11-01,1488.149048,1496.943848,1471.647217,1494.954834,1494.954834,5331362810
2023-11-02,1494.471802,1530.545532,1469.981079,1516.281494,1516.281494,8725234861
2023-11-03,1516.421265,1536.821777,1470.239136,1477.159302,1477.159302,7386692649
2023-11-04,1477.401733,1482.830322,1459.963135,1481.046997,1481.046997,6159891608
2023-11-05,1481.510498,1508.898438,1475.343018,1501.170898,1501.170898,3915217436
2023-11-06,1500.926025,1544.734619,1493.834839,1530.979492,1530.979492,7167000265
2023-11-07,1530.873901,1545.811035,1512.492432,1539.090576,1539.090576,6565287490
2023-11-08,1539.708130,1551.549438,1508.312622,1536.196777,1536.196777,7487838456
2023-11-09,1535.378906,1550.154053,1526.954224,1537.915894,1537.915894,5495851398
2023-11-10,1537.604980,1744.312866,1534.435669,1735.901733,1735.901733,20227479899
2023-11-11,1736.316406,1745.690918,1693.084351,1700.311157,1700.311157,12059747087
2023-11-12,1700.121826,1709.507568,1664.961792,1679.386841,1679.386841,8368120970
2023-11-13,1679.718018,1691.366821,1651.827393,1672.343262,1672.343262,6501518412
2023-11-14,1672.480225,1725.792847,1660.817749,1673.627197,1673.627197,11662599240
2023-11-15,1673.219971,1681.127686,1553.090088,1584.039673,1584.039673,10475564404
2023-11-16,1584.375854,1661.563232,1576.565186,1658.696777,1658.696777,10164609897
2023-11-17,1658.340454,1684.602173,1562.307739,1579.546997,1579.546997,11802304390
2023-11-18,1580.341187,1603.556885,1538.141602,1574.441650,1574.441650,9538136105
2023-11-19,1574.755127,1582.614990,1542.155884,1576.050659,1576.050659,6474016275
2023-11-20,1575.966309,1618.034058,1561.292480,1616.589111,1616.589111,6195933188
2023-11-21,1615.504150,1653.448242,1598.995117,1616.701294,1616.701294,10286236834
2023-11-22,1616.683838,1625.818604,1544.218018,1544.218018,1544.218018,10884488950
2023-11-23,1541.440918,1672.307129,1541.105957,1652.974976,1652.974976,10707054147
2023-11-24,1652.558838,1662.658081,1628.116699,1645.444092,1645.444092,6246334123
2023-11-25,1645.604492,1692.140869,1644.254761,1651.446167,1651.446167,9634305118
2023-11-26,1651.560547,1659.664429,1641.074341,1654.165161,1654.165161,4255713571
2023-11-27,1653.978149,1661.849487,1617.808960,1637.576660,1637.576660,6392896568
2023-11-28,1636.865967,1643.986694,1574.161987,1604.635864,1604.635864,8369623775
2023-11-29,1604.714966,1633.750488,1581.541138,1611.982788,1611.982788,7795575109
2023-11-30,1611.863770,1632.567871,1594.421387,1598.942749,1598.942749,7045952998
2023-12-01,1598.493042,1626.591797,1595.263306,1625.092773,1625.092773,6419269100
2023-12-02,1624.729126,1666.275635,1619.086548,1643.547607,1643.547607,8557285793
2023-12-03,1643.959839,1718.890503,1643.758667,1705.413940,1705.413940,7189644620
2023-12-04,1705.564941,1741.636597,1694.402832,1725.788086,1725.788086,6512710423
2023-12-05,1725.765991,1795.236328,1725.999878,1775.583862,1775.583862,12782789314
2023-12-06,1775.486206,1832.394775,1737.423096,1821.303467,1821.303467,12214113462
2023-12-07,1821.133911,1833.361450,1771.745239,1777.225952,1777.225952,10186047343
2023-12-08,1778.465332,1891.846802,1770.575195,1872.957886,1872.957886,11731423687
2023-12-09,1872.631958,1895.703125,1870.255005,1879.767822,1879.767822,9996383976
2023-12-10,1879.731201,1914.058960,1858.197876,1865.776245,1865.776245,8458173521
2023-12-11,1865.987305,1894.578613,1851.614990,1873.861206,1873.861206,5870284082
2023-12-12,1873.888306,1875.851440,1719.982056,1772.101685,1772.101685,14330254117
2023-12-13,1771.952148,1784.211914,1725.622192,1751.994263,1751.994263,9063058187
2023-12-14,1752.441650,1808.824219,1713.075806,1791.186646,1791.186646,9964693170
2023-12-15,1791.255737,1826.574341,1763.218750,1813.999512,1813.999512,9873263798
2023-12-16,1813.632568,1815.962158,1745.025391,1749.024170,1749.024170,8085078193
2023-12-17,1749.874023,1781.708008,1744.463989,1755.005127,1755.005127,5411422469
2023-12-18,1754.978271,1768.749268,1733.380493,1733.392700,1733.392700,5848093047
2023-12-19,1732.493408,1756.675049,1672.786987,1752.410889,1752.410889,8193140282
2023-12-20,1753.175659,1777.234253,1680.155640,1710.771240,1710.771240,8341620459
2023-12-21,1710.273926,1786.004395,1710.351685,1742.121460,1742.121460,10010315354
2023-12-22,1742.025513,1798.583862,1727.996582,1765.644043,1765.644043,9946809592
2023-12-23,1765.688110,1842.735596,1760.874756,1832.054688,1832.054688,12707500528
2023-12-24,1832.204956,1836.422729,1787.880981,1818.290894,1818.290894,6296383346
2023-12-25,1818.747803,1830.904297,1772.011230,1787.458862,1787.458862,7455962336
2023-12-26,1787.181519,1815.106079,1773.439331,1788.826416,1788.826416,6325703309
2023-12-27,1788.556641,1790.049316,1716.293091,1753.427490,1753.427490,8383093931
2023-12-28,1753.370728,1868.732666,1740.854370,1858.390747,1858.390747,11063549162
2023-12-29,1859.531738,1908.671143,1836.871826,1843.470825,1843.470825,12297940017
2023-12-30,1842.903687,1876.802490,1776.275391,1806.021606,1806.021606,9841407829
2023-12-31,1805.793091,1822.621948,1781.798218,1799.108521,1799.108521,5406744348
2024-01-01,1799.014282,1819.867920,1776.218872,1792.200684,1792.200684,5397864998
2024-01-02,1793.299683,1848.200562,1780.846924,1848.200562,1848.200562,5426576971
2024-01-03,1848.409302,1906.474121,1845.193604,1866.281860,1866.281860,10227668111
2024-01-04,1866.396606,1887.355591,1674.047119,1744.443726,1744.443726,15255018568
2024-01-05,1744.260010,1809.619873,1740.659912,1789.275024,1789.275024,8709313139
2024-01-06,1789.567749,1789.011108,1736.634277,1782.827759,1782.827759,8535134448
2024-01-07,1783.529297,1784.959229,1744.426880,1761.592041,1761.592041,4692137203
2024-01-08,1761.896851,1773.775269,1739.018066,1747.906128,1747.906128,5103323859
2024-01-09,1747.899658,1848.743042,1708.781250,1831.029419,1831.029419,10854396560
2024-01-10,1830.900146,1864.486206,1762.614136,1844.623901,1844.623901,11714524929
2024-01-11,1844.699829,2061.706543,1842.355103,2026.047485,2026.047485,22787884139
2024-01-12,2027.670166,2117.894531,2012.749878,2049.891113,2049.891113,17665469315
2024-01-13,2049.545166,2120.306152,1930.743774,1980.590454,1980.590454,18534319332
2024-01-14,1979.392944,2031.288452,1960.297241,2021.495605,2021.495605,9611108601
2024-01-15,2022.598633,2022.856445,1939.604248,1941.184082,1941.184082,7385191995
2024-01-16,1940.733032,2003.904663,1940.068726,1974.984131,1974.984131,7628759744
2024-01-17,1974.405029,2068.570313,1976.880615,2047.694336,2047.694336,8754635147
2024-01-18,2047.182739,2051.236084,1978.727173,1994.418213,1994.418213,8236041676
2024-01-19,1994.594727,2007.034058,1911.358154,1940.798828,1940.798828,9361728291
2024-01-20,1942.112549,1969.980347,1906.216309,1959.618774,1959.618774,8977710495
2024-01-21,1959.893555,1959.893555,1933.325562,1943.946899,1943.946899,4170205054
2024-01-22,1944.111816,1951.953369,1931.095337,1932.304443,1932.304443,3605262799
2024-01-23,1933.150391,1938.038330,1812.326782,1818.641235,1818.641235,10958133664
2024-01-24,1818.739746,1845.191040,1707.536865,1765.546265,1765.546265,12750706957
2024-01-25,1766.384521,1772.923218,1727.672485,1756.213867,1756.213867,7968770508
2024-01-26,1756.534790,1760.515991,1712.714966,1745.344604,1745.344604,7320896325
2024-01-27,1745.133301,1793.049805,1731.673950,1783.932617,1783.932617,7848861439
2024-01-28,1784.026489,1796.006470,1772.275879,1784.472534,1784.472534,4047814488
2024-01-29,1784.713867,1815.169434,1765.747925,1777.809326,1777.809326,5746601076
2024-01-30,1777.641113,1825.499634,1765.144897,1822.665161,1822.665161,7038892222
2024-01-31,1822.957520,1881.400391,1814.424683,1846.931152,1846.931152,8014371571
2024-02-01,1846.194702,1850.962646,1785.774170,1800.188110,1800.188110,8523918152
2024-02-02,1799.896851,1813.984009,1769.379395,1807.449585,1807.449585,6978967462
2024-02-03,1807.356445,1820.897583,1802.117432,1826.992188,1826.992188,5688392776
